timestamp,nome_attivita,citta,email,oggetto,stato
2026-07-27T08:19:52,Gruppo Barchetti - Concessionaria multi-brand Padova,Padova,info@gruppobarchetti.it,"Preventivi Gruppo Barchetti - Concessionaria multi-brand Padova: 2 minuti, non 30?",dry_no_creds
2026-07-27T08:19:53,Bonometto Auto S.p.A. - Concessionaria ufficiale Volvo/Jaguar/Land Rover,Verona,info@bonometto.it,"Preventivi Bonometto Auto S.p.A. - Concessionaria ufficiale Volvo/Jaguar/Land Rover: 2 minuti, non 30?",dry_no_creds
2026-07-27T08:19:53,NordAuto S.p.A. - Ford Vicenza,Vicenza,info@nordauto.it,"Preventivi NordAuto S.p.A. - Ford Vicenza: 2 minuti, non 30?",dry_no_creds
2026-07-27T08:19:53,Car Point S.p.A. - Concessionaria Renault/Dacia Padova,Padova,info@carpoint.it,"Preventivi Car Point S.p.A. - Concessionaria Renault/Dacia Padova: 2 minuti, non 30?",dry_no_creds
2026-07-27T08:19:53,Bissoli Auto Srl - Mercedes-Benz e Smart Vicenza,Vicenza,info@bissoli.it,"Preventivi Bissoli Auto Srl - Mercedes-Benz e Smart Vicenza: 2 minuti, non 30?",dry_no_creds
2026-07-27T08:19:53,AutoAmica Srl - Hyundai/Kia Verona,Verona,info@autoamica.it,"Preventivi AutoAmica Srl - Hyundai/Kia Verona: 2 minuti, non 30?",dry_no_creds
2026-07-27T08:19:53,Vicar S.p.A. - Citroen/Peugeot/Opel Vicenza,Vicenza,info@vicar.it,"Preventivi Vicar S.p.A. - Citroen/Peugeot/Opel Vicenza: 2 minuti, non 30?",dry_no_creds
2026-07-27T08:19:53,AutoDueGi Srl - Concessionaria Kia/Jaguar/LR Vicenza,Vicenza,info@autoduegi.com,"Preventivi AutoDueGi Srl - Concessionaria Kia/Jaguar/LR Vicenza: 2 minuti, non 30?",dry_no_creds
2026-07-27T08:19:53,Autobaselli Srl - Concessionaria Citroen/Opel,Padova,info@autobaselli.it,"Preventivi Autobaselli Srl - Concessionaria Citroen/Opel: 2 minuti, non 30?",dry_no_creds
2026-07-27T08:19:53,VeronaAuto Srl - Usato e KM0,Verona,info@veronaauto.it,"Preventivi VeronaAuto Srl - Usato e KM0: 2 minuti, non 30?",dry_no_creds
2026-07-27T08:19:53,Autoserenissima S.p.A. - Volkswagen/Audi/Skoda/Seat Verona,Verona,info@autoserenissima.it,"Preventivi Autoserenissima S.p.A. - Volkswagen/Audi/Skoda/Seat Verona: 2 minuti, non 30?",dry_no_creds
2026-07-27T08:19:54,Ceccato Automobili S.p.A. - Concessionaria Renault/Dacia Vicenza,Vicenza,info@ceccatoautomobili.it,"Preventivi Ceccato Automobili S.p.A. - Concessionaria Renault/Dacia Vicenza: 2 minuti, non 30?",dry_no_creds
2026-07-27T08:19:54,Fimauto S.p.A. - Fiat/Alfa/Lancia/Jeep Padova,Padova,info@fimauto.it,"Preventivi Fimauto S.p.A. - Fiat/Alfa/Lancia/Jeep Padova: 2 minuti, non 30?",dry_no_creds
2026-07-27T08:19:54,AutoCento S.p.A. - Mercedes-Benz Padova,Padova,info@autocenter.it,"Preventivi AutoCento S.p.A. - Mercedes-Benz Padova: 2 minuti, non 30?",dry_no_creds
2026-07-27T08:19:54,Autostile S.p.A. - Concessionaria BMW/MINI Verona,Verona,info@autostile.it,"Preventivi Autostile S.p.A. - Concessionaria BMW/MINI Verona: 2 minuti, non 30?",dry_no_creds
2026-07-27T08:19:54,Gruppo Geminiani - Ford/Land Rover,Padova,info@geminiani.it,"Preventivi Gruppo Geminiani - Ford/Land Rover: 2 minuti, non 30?",dry_no_creds
2026-07-27T08:19:54,Autoborgo S.p.A. - Concessionaria Volkswagen/Skoda Vicenza,Vicenza,info@autoborgo.it,"Preventivi Autoborgo S.p.A. - Concessionaria Volkswagen/Skoda Vicenza: 2 minuti, non 30?",dry_no_creds
2026-07-27T08:19:54,Soncini S.p.A. - Toyota/Lexus Padova,Padova,info@soncini.it,"Preventivi Soncini S.p.A. - Toyota/Lexus Padova: 2 minuti, non 30?",dry_no_creds
2026-07-27T08:19:54,Peruzzo Auto Srl - BMW/MINI Vicenza,Vicenza,info@peruzzo.it,"Preventivi Peruzzo Auto Srl - BMW/MINI Vicenza: 2 minuti, non 30?",dry_no_creds
2026-07-27T08:19:54,De Bona Motors Padova - Opel/Peugeot/Citroen/Ds,Padova,info@debona.it,"Preventivi De Bona Motors Padova - Opel/Peugeot/Citroen/Ds: 2 minuti, non 30?",dry_no_creds
