id,nome_attivita,citta,telefono,canale_primario,stato,data_primo_contatto,ultimo_step_inviato,data_ultimo_invio,email
1,Bonometto Auto S.p.A. - Concessionaria ufficiale Volvo/Jaguar/Land Rover,Verona,,email,contattato,2026-07-27,msg1,2026-07-27,info@bonometto.it
2,Autostile S.p.A. - Concessionaria BMW/MINI Verona,Verona,,email,contattato,2026-07-27,msg1,2026-07-27,info@autostile.it
3,Autoserenissima S.p.A. - Volkswagen/Audi/Skoda/Seat Verona,Verona,,email,contattato,2026-07-27,msg1,2026-07-27,info@autoserenissima.it
4,VeronaAuto Srl - Usato e KM0,Verona,,email,contattato,2026-07-27,msg1,2026-07-27,info@veronaauto.it
5,AutoAmica Srl - Hyundai/Kia Verona,Verona,,email,contattato,2026-07-27,msg1,2026-07-27,info@autoamica.it
6,Gruppo Geminiani - Ford/Land Rover,Padova,,email,contattato,2026-07-27,msg1,2026-07-27,info@geminiani.it
7,De Bona Motors Padova - Opel/Peugeot/Citroen/Ds,Padova,,email,contattato,2026-07-27,msg1,2026-07-27,info@debona.it
8,Fimauto S.p.A. - Fiat/Alfa/Lancia/Jeep Padova,Padova,,email,contattato,2026-07-27,msg1,2026-07-27,info@fimauto.it
9,Autobaselli Srl - Concessionaria Citroen/Opel,Padova,,email,contattato,2026-07-27,msg1,2026-07-27,info@autobaselli.it
10,Car Point S.p.A. - Concessionaria Renault/Dacia Padova,Padova,,email,contattato,2026-07-27,msg1,2026-07-27,info@carpoint.it
11,Gruppo Barchetti - Concessionaria multi-brand Padova,Padova,,email,contattato,2026-07-27,msg1,2026-07-27,info@gruppobarchetti.it
12,Soncini S.p.A. - Toyota/Lexus Padova,Padova,,email,contattato,2026-07-27,msg1,2026-07-27,info@soncini.it
13,AutoCento S.p.A. - Mercedes-Benz Padova,Padova,,email,contattato,2026-07-27,msg1,2026-07-27,info@autocenter.it
14,Ceccato Automobili S.p.A. - Concessionaria Renault/Dacia Vicenza,Vicenza,,email,contattato,2026-07-27,msg1,2026-07-27,info@ceccatoautomobili.it
15,Autoborgo S.p.A. - Concessionaria Volkswagen/Skoda Vicenza,Vicenza,,email,contattato,2026-07-27,msg1,2026-07-27,info@autoborgo.it
16,Bissoli Auto Srl - Mercedes-Benz e Smart Vicenza,Vicenza,,email,contattato,2026-07-27,msg1,2026-07-27,info@bissoli.it
17,Peruzzo Auto Srl - BMW/MINI Vicenza,Vicenza,,email,contattato,2026-07-27,msg1,2026-07-27,info@peruzzo.it
18,AutoDueGi Srl - Concessionaria Kia/Jaguar/LR Vicenza,Vicenza,,email,contattato,2026-07-27,msg1,2026-07-27,info@autoduegi.com
19,NordAuto S.p.A. - Ford Vicenza,Vicenza,,email,contattato,2026-07-27,msg1,2026-07-27,info@nordauto.it
20,Vicar S.p.A. - Citroen/Peugeot/Opel Vicenza,Vicenza,,email,contattato,2026-07-27,msg1,2026-07-27,info@vicar.it
