id,nome_attivita,citta,telefono,canale_primario,stato,data_primo_contatto,ultimo_step_inviato,data_ultimo_invio
autoart bergamo,AutoART Bergamo,Bergamo,,email,da_contattare,,,
0254108385,Milano Automobili Srl,Milano,02 5410 8385,whatsapp,da_contattare,,,
035316143,Car System srl Bergamo,Bergamo,035 316143,whatsapp,da_contattare,,,
398242655,AUTO USATE MILANO S.R.L,Milano,39 824 2655,whatsapp,da_contattare,,,
035617717,Autoverde - Acquisto e Vendita Auto,Bergamo,035 617717,whatsapp,da_contattare,,,
035616595,Autostore Bergamo s.r.l.,Bergamo,035 616595,whatsapp,da_contattare,,,
022575889,Auto usate Milano Autosalone Asiago 46 Auto Km 0,Milano,02 257 5889,whatsapp,da_contattare,,,
0354376626,AUTOEFFE SRL,Bergamo,035 437 6626,whatsapp,da_contattare,,,
3332206080,Ke Auto Srl,Bergamo,333 220 6080,whatsapp,da_contattare,,,
3928635525,Bergamo Motori Srl,Bergamo,392 863 5525,whatsapp,da_contattare,,,
030361100,Autovalotti - Auto usate Brescia,Brescia,030 361100,whatsapp,da_contattare,,,
02317134,Soccol Cars & Boats,Milano,02 317134,whatsapp,da_contattare,,,
02438181,Autorigoldi S.p.A. Škoda Milano | Via Novara,Milano,02 438181,whatsapp,da_contattare,,,
035611484,Conti Auto - Rattix | Curno - Bergamo,Bergamo,035 611484,whatsapp,da_contattare,,,
0248706076,Auto 500,Milano,02 4870 6076,whatsapp,da_contattare,,,
035318712,Cittadella dell'Auto,Bergamo,035 318712,whatsapp,da_contattare,,,
023021291,KIA - Clerici Auto - Milano (via Gallarate),Milano,02 302 1291,whatsapp,da_contattare,,,
0303700322,"Autobase Brescia - Concessionaria Hyundai, Mazda, EMC e FOTON. Noleggio e Usato.",Brescia,030 370 0322,whatsapp,da_contattare,,,
0266105555,GERLI Spa - Concessionaria e Assistenza Ufficiale Hyundai Dr Sportequipe Ich-x e Assistenza Ufficiale Opel,Milano,02 6610 5555,whatsapp,da_contattare,,,
