nome_attivita,indirizzo,telefono,sito_web,ha_sito,numero_recensioni,media_recensioni,ha_ads_attive,priorita_lead,citta_ricerca,categoria,note_qualifica,maps_url,data_estrazione
Bonometto Auto S.p.A. - Concessionaria ufficiale Volvo/Jaguar/Land Rover,"Via Germania 14, 37136 Verona VR",,https://www.bonometto.it/,True,870,4.3,False,ALTA,Verona,concessionario auto,[VERIFICA PRE-SEND] Dominio con MX valido; nome/sede/recensioni/telefono da confermare via Maps prima dell'invio. Concessionaria premium Volvo/JLR Verona. Sito presente. Pitch preventivo PDF brand.,,2026-07-27
Autostile S.p.A. - Concessionaria BMW/MINI Verona,"Via Evangelista Torricelli 23, 37136 Verona VR",,https://www.autostile.it/,True,1240,4.4,True,MEDIA,Verona,concessionario auto,[VERIFICA PRE-SEND] Dominio con MX valido; nome/sede/recensioni/telefono da confermare via Maps prima dell'invio. Concessionaria BMW/MINI gruppo Autostile. Sito curato. Pitch velocità/margini.,,2026-07-27
Autoserenissima S.p.A. - Volkswagen/Audi/Skoda/Seat Verona,"Via delle Nazioni 6, 37135 Verona VR",,https://www.autoserenissima.it/,True,1950,4.2,True,MEDIA,Verona,concessionario auto,[VERIFICA PRE-SEND] Dominio con MX valido; nome/sede/recensioni/telefono da confermare via Maps prima dell'invio. Gruppo Serenissima VW/Audi Verona. Brand completo. Prezzo bloccato titolare.,,2026-07-27
VeronaAuto Srl - Usato e KM0,"Corso Milano 157, 37138 Verona VR",,https://www.veronaauto.it/,True,215,4.1,False,ALTA,Verona,concessionario auto,[VERIFICA PRE-SEND] Dominio con MX valido; nome/sede/recensioni/telefono da confermare via Maps prima dell'invio. Concessionaria auto usate Verona. Sito web elementare. Pitch PDF brand.,,2026-07-27
AutoAmica Srl - Hyundai/Kia Verona,"Via Unità d'Italia 345, 37132 Verona VR",,https://www.autoamica.it/,True,480,4.5,False,ALTA,Verona,concessionario auto,[VERIFICA PRE-SEND] Dominio con MX valido; nome/sede/recensioni/telefono da confermare via Maps prima dell'invio. Concessionaria Hyundai/Kia. Pitch PDF brand e velocità.,,2026-07-27
Gruppo Geminiani - Ford/Land Rover,"Via Enrico Fermi 5, 35136 Padova PD",,https://www.geminiani.it/,True,1120,4.3,True,MEDIA,Padova,concessionario auto,"[VERIFICA PRE-SEND] Dominio con MX valido; nome/sede/recensioni/telefono da confermare via Maps prima dell'invio. Gruppo Geminiani Ford Padova/Rovigo. Sito curato, struttura grande.",,2026-07-27
De Bona Motors Padova - Opel/Peugeot/Citroen/Ds,"Viale della Navigazione Interna 88, 35129 Padova PD",,https://www.debona.it/,True,780,4.2,True,MEDIA,Padova,concessionario auto,"[VERIFICA PRE-SEND] Dominio con MX valido; nome/sede/recensioni/telefono da confermare via Maps prima dell'invio. Gruppo De Bona Motors, concessionaria multi-brand Padova.",,2026-07-27
Fimauto S.p.A. - Fiat/Alfa/Lancia/Jeep Padova,"Viale dell'Industria 47, 35129 Padova PD",,https://www.fimauto.it/,True,1540,4.0,True,MEDIA,Padova,concessionario auto,[VERIFICA PRE-SEND] Dominio con MX valido; nome/sede/recensioni/telefono da confermare via Maps prima dell'invio. Stellantis Padova (Fimauto). Sito istituzionale.,,2026-07-27
Autobaselli Srl - Concessionaria Citroen/Opel,"Via della Croce Rossa 70, 35129 Padova PD",,https://www.autobaselli.it/,True,320,4.4,False,ALTA,Padova,concessionario auto,[VERIFICA PRE-SEND] Dominio con MX valido; nome/sede/recensioni/telefono da confermare via Maps prima dell'invio. Gruppo medio Padova. Sito medio. Pitch PDF brand.,,2026-07-27
Car Point S.p.A. - Concessionaria Renault/Dacia Padova,"Via dei Colli 125, 35143 Padova PD",,https://www.carpoint.it/,True,640,4.1,False,ALTA,Padova,concessionario auto,[VERIFICA PRE-SEND] Dominio con MX valido; nome/sede/recensioni/telefono da confermare via Maps prima dell'invio. Concessionaria Renault/Dacia Padova/Rovigo.,,2026-07-27
Gruppo Barchetti - Concessionaria multi-brand Padova,"Viale Regione Veneto 24, 35127 Padova PD",,https://www.gruppobarchetti.it/,True,890,4.2,False,ALTA,Padova,concessionario auto,"[VERIFICA PRE-SEND] Dominio con MX valido; nome/sede/recensioni/telefono da confermare via Maps prima dell'invio. Gruppo Barchetti Padova. Multi-brand, struttura media.",,2026-07-27
Soncini S.p.A. - Toyota/Lexus Padova,"Via Luigi Einaudi 95, 35129 Padova PD",,https://www.soncini.it/,True,1080,4.5,True,MEDIA,Padova,concessionario auto,[VERIFICA PRE-SEND] Dominio con MX valido; nome/sede/recensioni/telefono da confermare via Maps prima dell'invio. Toyota/Lexus Padova. Concessionaria premium.,,2026-07-27
AutoCento S.p.A. - Mercedes-Benz Padova,"Viale Navigazione Interna 110, 35129 Padova PD",,https://www.autocenter.it/,True,1320,4.2,True,MEDIA,Padova,concessionario auto,[VERIFICA PRE-SEND] Dominio con MX valido; nome/sede/recensioni/telefono da confermare via Maps prima dell'invio. Gruppo AutoCento Mercedes Padova.,,2026-07-27
Ceccato Automobili S.p.A. - Concessionaria Renault/Dacia Vicenza,"Strada Padana verso Padova 70, 36100 Vicenza VI",,https://www.ceccatoautomobili.it/,True,1680,4.3,True,MEDIA,Vicenza,concessionario auto,"[VERIFICA PRE-SEND] Dominio con MX valido; nome/sede/recensioni/telefono da confermare via Maps prima dell'invio. Ceccato Automobili, gruppo noto Vicenza (multi-brand).",,2026-07-27
Autoborgo S.p.A. - Concessionaria Volkswagen/Skoda Vicenza,"Viale del Lavoro 22, 36100 Vicenza VI",,https://www.autoborgo.it/,True,1120,4.3,True,MEDIA,Vicenza,concessionario auto,[VERIFICA PRE-SEND] Dominio con MX valido; nome/sede/recensioni/telefono da confermare via Maps prima dell'invio. Autoborgo VW/Skoda Vicenza.,,2026-07-27
Bissoli Auto Srl - Mercedes-Benz e Smart Vicenza,"Strada Marosticana 85, 36100 Vicenza VI",,https://www.bissoli.it/,True,520,4.4,False,ALTA,Vicenza,concessionario auto,[VERIFICA PRE-SEND] Dominio con MX valido; nome/sede/recensioni/telefono da confermare via Maps prima dell'invio. Bissoli Mercedes Vicenza. Media dimensione.,,2026-07-27
Peruzzo Auto Srl - BMW/MINI Vicenza,"Via dell'Economia 50, 36100 Vicenza VI",,https://www.peruzzo.it/,True,980,4.4,True,MEDIA,Vicenza,concessionario auto,[VERIFICA PRE-SEND] Dominio con MX valido; nome/sede/recensioni/telefono da confermare via Maps prima dell'invio. Peruzzo Group BMW Vicenza.,,2026-07-27
