giorno,data_pubblicazione,orario_pubblicazione,strategia,canale_sorgente,url_sorgente_reale,titolo_originale,vph_sorgente,titolo_adattato,hook_3_secondi,caption_descrizione,hashtag_set,comando_cli
1,2026-08-27,19:00,A,PsicologiaFemminile-f8c,https://www.youtube.com/watch?v=8_RZCbkuIQk,7 tocchi che faranno innamorare perdutamente una donna matura di te #psicologia  #relazioni,10.62,7 Tocchi Che Fanno Innamorare Una Donna Di Te (Funzionano Davvero),"Esistono 7 punti del corpo che, se tocchi nel modo giusto, cambiano tutto.","Non e' magia, e' psicologia del contatto: 7 tocchi che una donna sente e ricorda. Guarda fino alla fine per il numero 7.",#relazioni #psicologia #segnalidilei #linguaggiodelcorpo #attrazione #legamidiamore,python apex7_orchestrator.py run --canale legamidiamore --video-sorgente https://www.youtube.com/watch?v=8_RZCbkuIQk --phase 1
1,2026-08-27,20:30,B,PsicologiadellAttrazionee,https://www.youtube.com/watch?v=V8m6irmPZmM,7 segnali che sei un uomo incredibilmente attraente,2.33,7 Segnali Che Dimostrano Che Sei Gia' Un Uomo Attraente (Anche Se Non Lo Sai),Forse sei gia' attraente e non te ne sei accorto. Ecco 7 prove.,L'attrattivita' maschile ha segnali precisi — controlla quanti ne riconosci in te.,#relazioni #psicologia #attrazione #uomoattraente #legamidiamore #crescitapersonale,python apex7_orchestrator.py run --canale legamidiamore --video-sorgente https://www.youtube.com/watch?v=V8m6irmPZmM --phase 1
1,2026-08-27,21:30,C,DinamicheSocialiAcademy,https://www.youtube.com/watch?v=TcKrM6hOctg,Perché gli uomini stanno scomparendo La verità sul gioco truccato 🛑,2.28,Perche' Sempre Piu' Uomini Scompaiono Dal Mercato Degli Appuntamenti (La Verita'),Gli uomini non stanno sparendo per caso. C'e' una ragione precisa.,La verita' scomoda su perche' sempre piu' uomini si ritirano dagli appuntamenti.,#relazioni #psicologia #veritascomoda #uomini #legamidiamore #societa,python apex7_orchestrator.py run --canale legamidiamore --video-sorgente https://www.youtube.com/watch?v=TcKrM6hOctg --phase 1
2,2026-08-28,19:00,A,PsicologiaFemminile-f8c,https://www.youtube.com/watch?v=CxdlEsEnZ9g,"Se una donna sta sviluppando dei sentimenti per te, dirà queste 7 cose | Fatti di psicologia",10.27,7 Cose Che Una Donna Dice Solo Quando Sta Iniziando Ad Innamorarsi Di Te,"Se sente qualcosa per te, lo dice senza accorgersene — in 7 modi precisi.",Le parole tradiscono i sentimenti prima dei gesti. Ecco le 7 frasi che segnalano che sta iniziando a innamorarsi.,#relazioni #psicologia #segnalidilei #linguaggioverbale #attrazione #legamidiamore,python apex7_orchestrator.py run --canale legamidiamore --video-sorgente https://www.youtube.com/watch?v=CxdlEsEnZ9g --phase 1
2,2026-08-28,21:30,C,DinamicheSocialiAcademy,https://www.youtube.com/watch?v=CzQ9UWUWp3c,Perché l'80% degli uomini è diventato INVISIBILE La verità shock over 30,1.78,Perche' Dopo I 30 Anni Molti Uomini Diventano 'Invisibili' Nel Dating,"Dopo i 30, qualcosa cambia davvero nel modo in cui vieni notato.",La verita' su perche' tanti uomini oltre i 30 anni si sentono invisibili — e cosa fare.,#relazioni #psicologia #uomini #veritascomoda #legamidiamore #societa,python apex7_orchestrator.py run --canale legamidiamore --video-sorgente https://www.youtube.com/watch?v=CzQ9UWUWp3c --phase 1
3,2026-08-29,19:00,A,PsicologiaFemminile-f8c,https://www.youtube.com/watch?v=qHB80wbamBI,4 segnali che indicano che lei ti desidera segretamente: riconoscili prima che sia troppo tardi!,5.77,4 Segnali Che Lei Ti Desidera In Segreto (E Che Quasi Nessun Uomo Nota),Lei non te lo dira' mai a parole — ma il corpo parla comunque.,4 segnali sottili di desiderio che passano inosservati. Riconoscerli prima che sia troppo tardi.,#relazioni #psicologia #segnalidilei #desiderio #attrazione #legamidiamore,python apex7_orchestrator.py run --canale legamidiamore --video-sorgente https://www.youtube.com/watch?v=qHB80wbamBI --phase 1
3,2026-08-29,20:30,B,PsicologiadellAttrazionee,https://www.youtube.com/watch?v=l6iiReMUTC4,6 Abilità Sociali Che Ti Rendono Incredibilmente Attraente Per Le Donne,1.78,6 Abilita' Sociali Che Ti Rendono Molto Piu' Attraente (Si Allenano),L'attrazione si allena: ecco 6 abilita' sociali concrete.,"6 abilita' sociali allenabili che aumentano la tua attrattivita', spiegate passo per passo.",#relazioni #psicologia #abilitasociali #attrazione #legamidiamore #crescitapersonale,python apex7_orchestrator.py run --canale legamidiamore --video-sorgente https://www.youtube.com/watch?v=l6iiReMUTC4 --phase 1
3,2026-08-29,21:30,C,DinamicheSocialiAcademy,https://www.youtube.com/watch?v=iCaIzO1VB-I,Solitudine Maschile Il Falso Mito Che Ti Distrugge,0.68,Il Falso Mito Sulla Solitudine Maschile Che Fa Piu' Danni Della Solitudine Stessa,C'e' un mito sulla solitudine maschile che fa piu' male della solitudine stessa.,"Il mito da sfatare sulla solitudine maschile, e perche' crederci peggiora le cose.",#relazioni #psicologia #solitudine #uomini #legamidiamore #societa,python apex7_orchestrator.py run --canale legamidiamore --video-sorgente https://www.youtube.com/watch?v=iCaIzO1VB-I --phase 1
4,2026-08-30,19:00,A,PsicologiaFemminile-f8c,https://www.youtube.com/watch?v=XABjAjqfUxw,Lei non può resisterti: il trucco per un'attrazione immediata per gli uomini,5.42,Il Trucco Psicologico Che Rende Un Uomo Irresistibile Fin Dal Primo Sguardo,C'e' un dettaglio che decide l'attrazione nei primi 5 secondi.,Non e' l'aspetto fisico: e' un trucco psicologico preciso che puoi applicare da stasera.,#relazioni #psicologia #attrazione #primaimpressione #legamidiamore #psicologiadellamore,python apex7_orchestrator.py run --canale legamidiamore --video-sorgente https://www.youtube.com/watch?v=XABjAjqfUxw --phase 1
4,2026-08-30,20:30,B,PsicologiadellAttrazionee,https://www.youtube.com/watch?v=1nDqK1FUJgs,Quando fa questo… l’attrazione è già presente (Non te lo dirà mai),1.58,"Quando Lei Fa Questo, L'Attrazione E' Gia' Scattata (Anche Se Non Lo Ammette)",C'e' un gesto che rivela l'attrazione prima ancora che lei se ne accorga.,Un gesto specifico che tradisce l'attrazione — e che lei non ammettera' mai a parole.,#relazioni #psicologia #segnalidilei #attrazione #legamidiamore #tecnica,python apex7_orchestrator.py run --canale legamidiamore --video-sorgente https://www.youtube.com/watch?v=1nDqK1FUJgs --phase 1
